cid,g,a,d,i,cl
D,M,6,21,19,0
D,M,6,22,40,2
D,M,6,23,35,0
D,M,6,24,38,1
D,M,6,25,32,0
D,M,6,26,41,0
D,M,6,27,38,0
D,M,6,28,18,0
D,M,6,29,16,0
D,M,U,1,13,0
D,M,U,2,2,0
D,M,U,4,35,0
D,M,U,5,26,0
D,M,U,6,25,0
D,M,U,7,35,0
D,M,U,8,14,0
D,M,U,9,36,0
D,M,U,10,52,0
D,M,U,11,75,0
D,M,U,12,64,0
D,M,U,13,65,0
D,M,U,14,88,0
D,M,U,15,74,0
D,M,U,16,47,1
D,M,U,17,70,0
D,M,U,18,105,2
D,M,U,19,104,0
D,M,U,20,146,0
D,M,U,21,48,1
D,M,U,22,92,0
D,M,U,23,68,0
D,M,U,24,84,0
D,M,U,25,85,0
D,M,U,26,73,0
D,M,U,27,69,0
D,M,U,28,32,0
D,M,U,29,38,0
D,M,U,30,1,0
D,U,1,1,4,0
D,U,1,2,2,0
D,U,1,4,14,1
D,U,1,5,7,0
D,U,1,6,12,1
D,U,1,7,11,0
D,U,1,8,3,0
D,U,1,9,12,1
D,U,1,10,12,0
D,U,1,11,13,0
D,U,1,12,17,0
D,U,1,13,20,0
D,U,1,14,18,0
D,U,1,15,12,0
D,U,1,16,23,0
D,U,1,17,17,0
D,U,1,18,24,0
D,U,1,19,31,0
D,U,1,20,31,0
D,U,1,21,13,0
D,U,1,22,26,2
D,U,1,23,16,1
D,U,1,24,26,0
D,U,1,25,18,0
D,U,1,26,20,0
D,U,1,27,13,0
D,U,1,28,8,0
D,U,1,29,7,0
D,U,2,1,6,0
D,U,2,4,9,0
D,U,2,5,9,0
D,U,2,6,6,0
D,U,2,7,9,0
D,U,2,8,8,1
D,U,2,9,8,0
D,U,2,10,13,0
D,U,2,11,21,0
D,U,2,12,20,0
D,U,2,13,18,0
D,U,2,14,26,1
D,U,2,15,33,0
D,U,2,16,19,0
D,U,2,17,29,1
D,U,2,18,22,0
D,U,2,19,40,0
D,U,2,20,31,0
D,U,2,21,22,0
D,U,2,22,28,0
D,U,2,23,16,0
D,U,2,24,27,0
D,U,2,25,18,0
D,U,2,26,32,0
D,U,2,27,23,0
D,U,2,28,21,0
D,U,2,29,12,0
D,U,3,1,5,0
D,U,3,2,3,0
D,U,3,4,10,0
D,U,3,5,5,0
D,U,3,6,15,0
D,U,3,7,6,0
D,U,3,8,4,0
D,U,3,9,9,0
D,U,3,10,7,0
D,U,3,11,16,0
D,U,3,12,16,0
D,U,3,13,11,0
D,U,3,14,16,0
D,U,3,15,20,0
D,U,3,16,13,0
D,U,3,17,22,0
D,U,3,18,24,1
D,U,3,19,32,0
D,U,3,20,42,0
D,U,3,21,17,0
D,U,3,22,31,1
D,U,3,23,12,0
D,U,3,24,16,1
D,U,3,25,16,1
D,U,3,26,23,0
D,U,3,27,18,0
D,U,3,28,10,0
D,U,3,29,9,0
D,U,4,1,11,0
D,U,4,4,9,0
D,U,4,5,9,0
D,U,4,6,13,0
D,U,4,7,5,0
D,U,4,8,5,0
D,U,4,9,9,0
D,U,4,10,6,0
D,U,4,11,22,0
D,U,4,12,15,0
D,U,4,13,15,0
D,U,4,14,27,0
D,U,4,15,14,0
D,U,4,16,10,0
D,U,4,17,18,0
D,U,4,18,23,0
D,U,4,19,34,1
D,U,4,20,41,0
D,U,4,21,13,0
D,U,4,22,26,0
D,U,4,23,11,0
D,U,4,24,16,0
D,U,4,25,25,0
D,U,4,26,17,0
D,U,4,27,19,0
D,U,4,28,11,0
D,U,4,29,14,0
D,U,5,1,4,0
D,U,5,2,1,0
D,U,5,4,14,0
D,U,5,5,15,0
D,U,5,6,15,0
D,U,5,7,23,0
D,U,5,8,3,0
D,U,5,9,22,0
D,U,5,10,20,0
D,U,5,11,30,1
D,U,5,12,25,0
D,U,5,13,33,0
D,U,5,14,29,0
D,U,5,15,34,1
D,U,5,16,29,0
D,U,5,17,42,0
D,U,5,18,42,0
D,U,5,19,65,0
D,U,5,20,75,0
D,U,5,21,23,0
D,U,5,22,52,0
D,U,5,23,32,0
D,U,5,24,26,0
D,U,5,25,28,1
D,U,5,26,35,0
D,U,5,27,31,0
D,U,5,28,13,0
D,U,5,29,19,0
